epoch,loss,loss_natural,loss_robust,lambda_min,lambda_max,lambda_mean,acc_natural,acc_robust,robust_drop,attack_success_rate,alpha_c_0,alpha_c_1,alpha_c_2,alpha_c_3,alpha_c_4,alpha_c_5,alpha_c_6,alpha_c_7,alpha_c_8,alpha_c_9,beta_c_0,beta_c_1,beta_c_2,beta_c_3,beta_c_4,beta_c_5,beta_c_6,beta_c_7,beta_c_8,beta_c_9
37,1.1429496015930176,0.0,0.0,0.3179491460323334,3.0,2.8565796452105197,0.76,0.40469999999999995,0.35530000000000006,0.5953,1.2345973097759744,1.0002364255583194,1.8577969918775437,1.995461435269212,1.9334063725093442,1.7503668987537588,1.8086041983436136,1.4402873223394994,1.2576523153373347,1.3066164242946887,1.378155629348267,1.8112323933550158,1.2618721720507688,1.3052585161555454,1.5060360529233732,1.2720401537082995,1.140220675322101,1.2985571503944104,1.5524104894579525,1.8019232067000834
38,1.1398094898223876,0.0,0.0,0.3554269075393677,3.0,2.8543714684293704,0.7562,0.4122,0.344,0.5878,1.2264215537654164,1.0015741370218185,1.8642376737521433,1.9911572256356553,1.9345903853931086,1.7372579391655105,1.8107681347586004,1.4474518997285066,1.2445048468801982,1.298666140612434,1.4852600396441682,1.7754349714654791,1.2891456269852035,1.4490813958980238,1.499014426070406,1.317178696622629,1.074418652088136,1.3026912657501142,1.5862478472082817,1.874176045512909
39,1.1420356996917724,0.0,0.0,0.2653775215148926,3.0,2.8608314740993177,0.7602,0.40900000000000003,0.35119999999999996,0.591,1.2408329858194531,1.0002632784416607,1.853803925806909,1.9897709499539622,1.927531006086208,1.7373659842459441,1.8074452733749624,1.4525206964034254,1.2720630592702296,1.2888180584553868,1.3887769178966123,1.7922447252151605,1.2452351132317272,1.3258100656597205,1.4944711871769116,1.272665516189907,1.1326234136396052,1.3178360349381977,1.5075537411453168,1.8527173547793532
40,1.140418451385498,0.0,0.0,0.32859501242637634,3.0,2.8567755088171998,0.7569,0.3889,0.368,0.6111,1.2147461221651044,1.0014391683251656,1.8316461006393823,1.9909480459549849,1.9187264701594478,1.7251862875945734,1.798383162149688,1.4335756722618551,1.2426499610056962,1.3032055928579072,1.4865296405294668,1.7216394990301498,1.286975354794651,1.3524429965811922,1.4552357044366315,1.277754959852799,1.116910288096084,1.2341454483359062,1.5233541147788163,1.8544799226629154
41,1.1377368068695068,0.0,0.0,0.289215087890625,3.0,2.8570534737823565,0.771,0.41910000000000003,0.3519,0.5809,1.224282624471523,1.0008821944751398,1.858053967775896,1.9908462759783812,1.9381138244858178,1.7303869376706955,1.802304398678148,1.4300720819731807,1.2533155451040439,1.3003675815699351,1.4078987086825359,1.7195251741067832,1.2175730975997416,1.3261158841345317,1.4935783202690847,1.2679080758863093,1.106521604616014,1.243041164125018,1.546954481802938,1.8987044660026764
42,1.1376873899459838,0.0,0.0,0.3032453656196594,3.0,2.8524515073927468,0.7644,0.4112,0.35319999999999996,0.5888,1.2252025540222597,1.000207736364106,1.855748675668331,1.9961272526884932,1.9286031445578846,1.7307711623208908,1.811536147161518,1.4441751973403385,1.2475813041867503,1.3076952665358248,1.469530225714759,1.7261938978643978,1.299578312412857,1.3695325634973434,1.483809598571504,1.247067654529191,1.130474423813393,1.2511183642365438,1.4790193055901686,1.8879678785953375
43,1.1353565255355835,0.0,0.0,0.27401360869407654,3.0,2.8557015258028073,0.7721,0.4184,0.3537,0.5816,1.2437901057855552,1.0001605374124043,1.8514297151809458,1.9939092912942247,1.935562115496077,1.748431989603945,1.8175764736312126,1.4594286277775874,1.2579445479166171,1.2996903898770853,1.5133180200596295,1.755197511304675,1.2719050962906664,1.3159055234221242,1.492681964888902,1.2996594875364962,1.0998748482950509,1.2795463035173733,1.5414588399555371,1.8720639742853697
44,1.135222016143799,0.0,0.0,0.2440095841884613,3.0,2.851579642356814,0.7601,0.4212,0.3389,0.5788,1.2200177383544806,1.0018758423188154,1.8493004400102073,1.9963867545432752,1.9266543562150062,1.7368642213704335,1.8058073606027667,1.434301277255768,1.2438290009413229,1.3037127905794421,1.3245252712303415,1.7447927674978896,1.2334065900739197,1.3268218781332226,1.503422603277904,1.2823844840154623,1.1041965789502235,1.2568520959990714,1.498680816282092,1.877740022776377
45,1.133473857421875,0.0,0.0,0.33212897181510925,3.0,2.851365451617619,0.7605,0.41700000000000004,0.3434999999999999,0.583,1.2224393336059491,1.0005959644342017,1.8633112011053372,1.9968638700597428,1.931581360604757,1.7445749922481644,1.8122026496531103,1.4500591867720074,1.2577914926402098,1.3028541596039482,1.3937542136672818,1.7395721981897379,1.2623006077983496,1.3325162964403783,1.5244517722703002,1.2874754743502879,1.0961047837801297,1.2557802075315314,1.5041225596766947,1.8463065712653157
46,1.133801022377014,0.0,0.0,0.3209964334964752,3.0,2.8546122955849103,0.7614,0.42390000000000005,0.3374999999999999,0.5761,1.243789263698451,1.0001506021870372,1.84665304468111,1.9947323692424217,1.932989314998812,1.742992123679432,1.816047765714738,1.4442024926090484,1.2666654794112495,1.3109237291014102,1.421977171812521,1.736970201172792,1.2944304714422397,1.3692888216594297,1.4447127760523726,1.2263208063667084,1.1721820794712856,1.2478957084743567,1.5276286644703896,1.8789409057563529
